chord,periodicity.stolz_smooth_t2_log,omega.stolz_smooth_t2,gradus.euler_smooth_t2,similarity.gill_purves_smooth_t2
"{0,1,4,5,6,7,8}",7.106,12.286,24.857,0.321599
"{0,1,6,7,8,10,11}",7.106,12.286,25.000,0.328609
"{0,1,2,3,7,8,10}",7.107,11.571,23.429,0.343689
"{0,2,3,4,5,6,11}",7.111,12.286,25.000,0.306387
"{0,4,5,6,7,10,11}",7.111,12.429,26.143,0.336168
"{0,2,3,4,5,8,9}",7.112,11.857,24.000,0.329932
"{0,1,2,3,6,8,10}",7.117,11.714,24.143,0.335620
"{0,1,6,7,8,9,11}",7.119,12.143,24.429,0.320673
"{0,1,2,3,6,7,11}",7.119,12.286,24.857,0.325964
"{0,1,2,5,6,7,9}",7.122,11.857,24.429,0.345805
"{0,1,2,3,6,7,10}",7.130,11.714,23.857,0.341043
"{0,1,3,4,5,6,10}",7.130,11.857,24.286,0.329403
"{0,1,2,3,6,8,9}",7.130,12.286,26.429,0.329025
"{0,1,2,8,9,10,11}",7.136,12.714,24.143,0.301606
"{0,1,2,4,6,7,8}",7.143,12.143,25.714,0.325321
"{0,1,2,3,5,6,11}",7.143,12.429,25.143,0.301625
"{0,1,5,6,7,10,11}",7.143,12.429,26.143,0.337755
"{0,2,3,4,5,6,8}",7.143,12.429,25.286,0.289191
"{0,1,2,3,4,7,11}",7.147,12.000,23.286,0.321580
"{0,1,2,3,5,6,10}",7.154,11.571,22.429,0.328723
"{0,1,2,3,4,6,11}",7.157,12.143,23.571,0.305178
"{0,3,4,5,6,10,11}",7.157,12.571,26.286,0.331406
"{0,1,2,3,4,7,10}",7.158,12.000,24.714,0.324641
"{0,1,3,4,5,6,7}",7.165,12.429,25.143,0.302022
"{0,1,5,6,7,8,11}",7.165,12.429,26.143,0.331406
"{0,1,2,3,4,6,10}",7.168,12.286,25.143,0.306652
"{0,1,2,3,4,7,9}",7.171,12.143,25.000,0.329403
"{0,1,2,7,8,9,11}",7.171,12.286,25.000,0.334958
"{0,1,2,3,4,7,8}",7.179,12.286,24.857,0.321599
"{0,1,4,5,6,10,11}",7.181,12.571,26.286,0.337755
"{0,1,2,7,8,9,10}",7.182,12.286,24.571,0.327419
"{0,1,2,3,4,6,8}",7.189,12.286,25.143,0.305064
"{0,1,2,3,9,10,11}",7.195,12.714,24.143,0.301606
"{0,1,2,3,4,6,7}",7.203,12.429,25.143,0.302022
"{0,1,2,6,7,8,11}",7.203,12.429,26.143,0.337755
"{0,1,2,3,8,10,11}",7.204,12.286,23.714,0.313114
"{0,2,3,4,5,10,11}",7.208,12.429,25.143,0.320673
"{0,1,2,6,7,8,10}",7.214,12.286,25.857,0.330083
"{0,1,4,5,6,7,11}",7.216,12.429,26.143,0.336168
"{0,1,3,4,5,10,11}",7.217,12.143,24.429,0.328609
"{0,1,2,3,4,5,7}",7.217,12.286,23.714,0.297638
"{0,1,2,3,8,9,11}",7.217,12.429,25.143,0.314324
"{0,1,2,6,7,8,9}",7.227,12.571,26.286,0.334977
"{0,1,2,3,8,9,10}",7.228,12.429,25.143,0.327419
"{0,1,2,5,6,7,11}",7.240,12.429,26.143,0.334580
"{0,1,2,5,6,7,10}",7.251,12.000,24.143,0.341043
"{0,1,3,4,5,6,11}",7.262,12.429,25.143,0.311149
"{0,1,2,3,7,8,9}",7.263,12.571,26.286,0.334977
"{0,2,3,4,5,6,10}",7.265,12.429,25.286,0.308239
"{0,1,2,3,4,9,11}",7.268,12.143,23.571,0.314701
"{0,1,2,5,6,7,8}",7.273,12.571,26.286,0.325454
"{0,1,2,3,4,8,11}",7.276,12.143,23.429,0.316818
"{0,1,2,4,5,6,11}",7.278,12.143,24.429,0.322260
"{0,1,2,3,4,9,10}",7.279,12.429,25.143,0.316308
"{0,1,2,3,4,8,10}",7.287,12.286,25.143,0.317763
"{0,1,2,3,6,7,8}",7.295,12.571,26.286,0.325454
"{0,1,2,3,4,8,9}",7.300,12.286,24.857,0.323186
"{0,2,3,4,5,6,7}",7.300,12.429,23.857,0.297638
"{0,1,2,4,5,6,7}",7.324,12.429,25.143,0.309958
"{0,1,2,3,5,6,7}",7.332,12.286,24.571,0.309958
"{0,1,2,3,4,5,9}",7.338,12.286,23.571,0.307691
"{0,1,2,3,4,5,8}",7.346,12.286,23.571,0.301342
"{0,1,2,3,4,10,11}",7.397,12.714,24.143,0.300019
"{0,1,2,3,4,5,11}",7.457,12.714,24.143,0.287320
"{0,1,2,3,4,5,10}",7.468,12.429,23.857,0.302400
"{0,1,2,3,4,5,6}",7.513,12.857,24.286,0.271844
"{0,3,4,6,7,8,10,11}",6.300,11.500,23.250,0.340505
"{0,2,4,6,7,8,10,11}",6.314,11.750,24.875,0.332185
"{0,1,4,5,7,8,9,11}",6.345,11.500,23.250,0.345266
"{0,2,3,4,7,8,10,11}",6.345,11.500,23.250,0.341695
"{0,1,3,5,7,8,9,11}",6.353,11.750,24.875,0.328614
"{0,2,3,4,6,8,10,11}",6.354,11.625,24.750,0.328614
"{0,2,4,5,6,8,9,10}",6.356,11.875,25.000,0.324150
"{0,2,3,4,6,7,8,11}",6.385,11.500,23.250,0.336933
"{0,1,2,5,6,8,9,10}",6.385,11.625,23.375,0.338421
"{0,1,3,4,5,7,9,11}",6.397,11.625,24.750,0.332185
"{0,1,2,4,6,8,9,10}",6.397,11.750,24.875,0.331293
"{0,1,3,4,5,7,8,9}",6.426,11.625,23.375,0.334850
"{0,2,4,5,7,8,9,11}",6.432,11.250,23.625,0.355882
"{0,1,3,5,6,8,9,10}",6.466,11.375,23.750,0.346655
"{0,1,3,4,5,8,9,11}",6.511,11.625,23.375,0.335743
"{0,2,3,6,7,8,10,11}",6.519,11.625,23.500,0.335743
"{0,2,3,4,6,7,8,10}",6.519,11.875,25.000,0.325340
"{0,3,4,5,7,8,9,11}",6.522,11.500,23.375,0.336933
"{0,2,3,5,8,9,10,11}",6.534,12.250,26.000,0.328713
"{0,2,4,5,7,9,10,11}",6.538,11.250,23.000,0.357866
"{0,2,3,5,7,9,10,11}",6.546,11.500,23.625,0.350723
"{0,2,3,5,7,8,10,11}",6.553,11.500,23.875,0.340405
"{0,1,2,4,5,6,9,10}",6.555,11.750,23.500,0.336040
"{0,1,4,5,6,8,9,10}",6.562,11.625,23.500,0.336040
"{0,1,2,4,5,6,8,10}",6.562,11.875,25.000,0.324150
"{0,1,3,4,7,8,9,11}",6.563,11.375,23.250,0.341695
"{0,2,3,4,6,7,10,11}",6.564,11.375,23.250,0.345266
"{0,2,3,5,7,8,9,11}",6.565,11.750,25.375,0.339725
"{0,1,3,4,6,9,10,11}",6.574,12.125,25.875,0.334666
"{0,2,3,5,6,8,9,11}",6.574,12.250,27.250,0.328727
"{0,2,3,5,6,7,9,10}",6.595,11.375,23.750,0.351417
"{0,2,3,4,6,7,9,11}",6.597,11.125,23.500,0.355882
"{0,1,3,4,6,8,9,10}",6.602,11.750,25.375,0.340023
"{0,1,3,4,5,7,8,11}",6.603,11.375,23.250,0.340505
"{0,1,2,4,5,8,9,10}",6.607,11.500,23.375,0.338421
"{0,1,3,4,6,7,9,10}",6.614,12.250,27.250,0.338549
"{0,2,5,7,8,9,10,11}",6.619,12.125,24.625,0.328997
"{0,3,4,6,8,9,10,11}",6.625,12.125,25.750,0.329904
"{0,2,5,6,8,9,10,11}",6.628,12.250,25.875,0.322761
"{0,3,4,6,7,9,10,11}",6.637,11.875,25.500,0.343396
"{0,2,4,6,7,9,10,11}",6.651,11.250,23.375,0.354294
"{0,1,3,6,8,9,10,11}",6.654,12.125,24.625,0.327806
"{0,2,3,6,7,9,10,11}",6.658,11.625,23.875,0.347647
"{0,2,5,6,7,8,9,11}",6.658,12.250,26.000,0.333475
"{0,1,3,6,7,9,10,11}",6.666,12.250,25.875,0.331094
"{0,2,4,6,7,8,9,11}",6.670,11.500,23.625,0.351913
"{0,1,4,5,7,9,10,11}",6.671,12.000,25.625,0.340618
"{0,2,4,5,7,8,10,11}",6.671,12.000,25.625,0.337344
"{0,2,3,5,6,9,10,11}",6.680,12.125,25.750,0.338634
"{0,2,3,5,6,8,10,11}",6.687,11.875,25.500,0.327820
"{0,2,4,5,6,8,9,11}",6.691,11.750,25.375,0.343296
"{0,1,3,6,7,8,9,10}",6.694,12.375,26.125,0.336154
"{0,2,3,5,7,8,9,10}",6.699,11.500,23.250,0.347449
"{0,2,4,5,6,7,9,11}",6.703,11.250,23.000,0.359056
"{0,1,2,4,7,9,10,11}",6.704,11.875,24.375,0.342092
"{0,1,3,4,6,8,10,11}",6.706,11.500,23.625,0.348342
"{0,1,3,5,7,8,9,10}",6.707,11.625,23.750,0.348639
"{0,2,3,5,6,8,9,10}",6.708,12.000,25.625,0.335261
"{0,2,3,5,6,7,9,11}",6.710,11.875,25.500,0.343296
"{0,1,3,4,6,8,9,11}",6.718,11.375,23.750,0.340405
"{0,1,3,5,6,7,9,10}",6.727,11.875,25.500,0.343594
"{0,1,3,4,6,7,9,11}",6.729,11.625,25.250,0.337344
"{0,2,3,4,6,7,9,10}",6.731,11.750,25.375,0.344785
"{0,3,5,6,8,9,10,11}",6.739,12.500,26.250,0.321570
"{0,1,2,4,5,7,10,11}",6.744,12.125,25.875,0.338237
"{0,1,2,4,5,7,9,11}",6.756,11.375,23.500,0.354294
"{0,2,4,7,8,9,10,11}",6.756,12.250,24.750,0.337330
"{0,1,3,4,5,7,8,10}",6.759,11.375,23.750,0.351417
"{0,2,3,7,8,9,10,11}",6.763,12.375,24.750,0.330286
"{0,2,5,6,7,9,10,11}",6.764,11.875,24.250,0.344870
"{0,2,4,6,8,9,10,11}",6.764,12.250,26.000,0.330598
"{0,1,2,4,5,7,9,10}",6.765,11.375,23.750,0.346655
"{0,1,2,4,5,6,8,9}",6.772,11.625,23.500,0.334850
"{0,2,3,6,8,9,10,11}",6.772,12.375,26.000,0.325142
"{0,2,4,5,8,9,10,11}",6.777,12.375,26.000,0.334666
"{0,3,5,6,7,8,9,10}",6.779,12.250,24.750,0.325723
"{0,3,4,6,7,8,9,11}",6.781,11.625,23.875,0.334552
"{0,1,4,6,7,9,10,11}",6.783,12.250,26.000,0.338237
"{0,1,3,5,8,9,10,11}",6.791,12.250,24.750,0.330187
"{0,3,4,6,7,8,9,10}",6.791,12.375,26.000,0.325439
"{0,2,3,6,7,8,9,11}",6.802,12.250,25.875,0.336253
"{0,1,4,5,7,8,10,11}",6.803,12.000,25.625,0.345777
"{0,1,3,4,8,9,10,11}",6.803,12.250,24.625,0.332667
"{0,1,3,5,7,9,10,11}",6.803,12.250,26.000,0.332979
"{0,1,3,5,7,8,10,11}",6.810,11.375,23.500,0.348342
"{0,1,3,5,6,9,10,11}",6.812,12.375,26.000,0.331094
"{0,1,3,4,7,9,10,11}",6.815,12.250,25.875,0.337046
"{0,2,3,4,6,9,10,11}",6.816,12.000,25.625,0.340618
"{0,2,4,5,7,8,9,10}",6.817,11.750,23.875,0.337925
"{0,1,3,5,6,8,10,11}",6.819,11.500,23.250,0.345961
"{0,1,3,4,7,8,10,11}",6.822,11.625,23.875,0.351219
"{0,1,4,5,7,8,9,10}",6.824,11.750,24.000,0.339612
"{0,3,4,5,6,7,9,10}",6.824,12.375,26.125,0.332582
"{0,1,3,5,6,8,9,11}",6.831,12.125,25.750,0.327820
"{0,2,3,4,6,8,9,11}",6.835,11.875,25.500,0.339725
"{0,2,4,5,6,7,8,11}",6.835,12.250,25.875,0.331094
"{0,1,2,4,7,8,10,11}",6.836,12.250,25.875,0.337046
"{0,2,4,5,6,7,9,10}",6.837,11.750,23.875,0.341497
"{0,1,2,4,6,9,10,11}",6.837,12.125,24.625,0.338520
"{0,1,3,4,6,7,10,11}",6.843,12.125,25.750,0.345777
"{0,1,3,4,7,8,9,10}",6.843,12.250,25.875,0.342503
"{0,2,3,5,6,7,8,11}",6.843,12.250,25.875,0.325539
"{0,3,6,7,8,9,10,11}",6.843,12.500,24.875,0.317191
"{0,4,5,7,8,9,10,11}",6.848,12.375,24.750,0.326715
"{0,1,2,4,5,9,10,11}",6.850,12.250,24.625,0.335048
"{0,3,5,7,8,9,10,11}",6.855,12.375,24.875,0.326616
"{0,2,6,7,8,9,10,11}",6.856,12.625,25.125,0.317985
"{0,2,3,4,5,7,9,11}",6.859,11.375,23.500,0.351913
"{0,1,3,5,6,7,8,10}",6.860,11.500,23.250,0.351020
"{0,2,3,4,5,7,8,11}",6.867,11.750,24.000,0.334552
"{0,3,4,7,8,9,10,11}",6.867,12.250,24.500,0.335445
"{0,1,2,4,6,7,9,11}",6.868,11.250,23.000,0.357866
"{0,2,3,4,5,7,9,10}",6.869,11.500,23.250,0.351020
"{0,1,3,4,6,7,8,10}",6.871,12.000,25.625,0.344785
"{0,1,3,5,6,7,8,9}",6.871,12.375,26.000,0.325439
"{0,3,5,6,7,9,10,11}",6.875,12.375,26.000,0.333475
"{0,1,3,4,5,7,9,10}",6.876,12.000,25.625,0.343594
"{0,1,2,4,6,7,9,10}",6.878,12.000,25.625,0.340023
"{0,1,3,4,6,7,8,9}",6.883,12.125,25.750,0.329408
"{0,1,5,6,8,9,10,11}",6.885,12.375,24.750,0.324334
"{0,4,5,6,7,8,9,11}",6.887,12.375,24.750,0.324334
"{0,1,2,4,5,7,8,11}",6.888,12.125,25.750,0.343396
"{0,1,4,7,8,9,10,11}",6.888,12.375,24.750,0.330286
"{0,3,5,6,7,8,9,11}",6.894,12.500,26.125,0.315618
"{0,1,3,7,8,9,10,11}",6.895,12.625,25.125,0.322747
"{0,1,2,4,5,7,8,10}",6.897,11.875,25.500,0.335261
"{0,1,4,6,8,9,10,11}",6.897,12.250,24.750,0.333759
"{0,2,5,6,7,8,10,11}",6.897,12.375,26.000,0.323951
"{0,3,4,5,7,9,10,11}",6.900,12.125,25.375,0.345380
"{0,3,4,5,7,8,10,11}",6.907,12.000,24.250,0.344076
"{0,1,4,5,8,9,10,11}",6.909,12.250,24.500,0.336635
"{0,2,5,6,7,8,9,10}",6.918,12.500,25.000,0.324532
"{0,2,4,5,6,9,10,11}",6.922,12.250,25.500,0.344189
"{0,1,3,6,7,8,10,11}",6.923,12.000,24.375,0.344870
"{0,1,5,6,7,8,9,10}",6.925,12.500,24.875,0.325822
"{0,3,4,5,6,8,9,11}",6.927,12.375,26.000,0.325539
"{0,3,4,5,7,8,9,10}",6.928,12.125,24.500,0.338024
"{0,1,2,6,7,9,10,11}",6.930,12.250,24.625,0.335048
"{0,1,2,5,8,9,10,11}",6.930,12.375,24.750,0.325524
"{0,2,4,5,6,8,10,11}",6.930,12.375,27.125,0.323172
"{0,2,4,6,7,8,9,10}",6.930,12.500,26.250,0.323753
"{0,2,3,4,7,9,10,11}",6.932,11.750,23.750,0.353203
"{0,1,3,6,7,8,9,11}",6.935,12.250,25.875,0.326332
"{0,3,4,5,6,8,9,10}",6.937,12.375,26.000,0.325439
"{0,1,4,6,7,8,9,10}",6.937,12.500,26.125,0.326630
"{0,2,3,6,7,8,9,10}",6.937,12.500,26.125,0.333773
"{0,3,4,5,6,7,9,11}",6.939,12.250,25.875,0.331094
"{0,1,2,5,7,9,10,11}",6.942,12.125,24.625,0.338520
"{0,1,2,4,8,9,10,11}",6.942,12.500,25.000,0.327509
"{0,2,3,5,6,7,10,11}",6.949,12.000,24.250,0.342885
"{0,1,2,5,7,8,10,11}",6.949,12.375,26.125,0.334666
"{0,2,3,4,7,8,9,11}",6.951,11.875,24.125,0.351219
"{0,1,2,5,6,9,10,11}",6.951,12.250,24.500,0.335445
"{0,1,2,5,6,8,10,11}",6.958,12.250,25.875,0.331094
"{0,4,6,7,8,9,10,11}",6.960,12.625,25.125,0.316794
"{0,1,3,5,6,7,9,11}",6.968,12.375,27.125,0.323172
"{0,1,2,5,6,8,9,11}",6.970,12.125,25.750,0.338634
"{0,1,2,4,6,8,10,11}",6.970,12.250,26.000,0.332979
"{0,1,2,3,6,9,10,11}",6.970,12.375,24.750,0.325524
"{0,1,4,5,6,7,9,10}",6.970,12.375,26.000,0.334170
"{0,2,3,4,6,8,9,10}",6.970,12.375,27.125,0.327041
"{0,1,2,4,7,8,9,11}",6.973,11.875,24.250,0.353203
"{0,2,3,4,5,7,10,11}",6.973,12.000,24.375,0.342489
"{0,2,3,4,5,8,9,11}",6.973,12.250,25.875,0.336253
"{0,2,3,5,6,7,8,10}",6.977,11.750,23.875,0.333163
"{0,1,3,4,5,7,10,11}",6.980,12.125,25.750,0.341808
"{0,1,2,4,6,8,9,11}",6.981,11.375,23.500,0.350723
"{0,1,2,4,6,7,10,11}",6.981,12.250,25.875,0.340618
"{0,4,5,6,8,9,10,11}",6.981,12.750,26.375,0.320082
"{0,1,2,4,7,8,9,10}",6.982,12.250,25.875,0.334963
"{0,1,2,4,5,8,10,11}",6.982,12.375,26.000,0.331094
"{0,1,2,3,5,9,10,11}",6.982,12.500,25.000,0.321556
"{0,1,3,4,6,7,8,11}",6.987,11.875,24.125,0.344076
"{0,2,3,5,6,7,8,9}",6.989,12.625,26.375,0.326630
"{0,1,3,4,5,8,9,10}",6.990,12.000,24.250,0.345564
"{0,1,2,3,5,8,10,11}",6.990,12.125,24.625,0.327806
"{0,2,3,4,5,6,9,11}",6.993,12.375,26.125,0.333475
"{0,4,5,6,7,9,10,11}",6.993,12.500,25.875,0.333177
"{0,1,2,4,5,8,9,11}",6.994,11.750,24.000,0.347647
"{0,1,2,3,6,7,9,11}",7.000,12.250,25.875,0.334666
"{0,2,3,4,5,6,8,11}",7.000,12.375,26.000,0.315618
"{0,2,3,4,5,7,8,10}",7.001,11.875,24.000,0.333163
"{0,1,2,3,5,7,10,11}",7.001,12.250,24.750,0.333759
"{0,1,2,3,5,8,9,11}",7.001,12.375,26.000,0.325142
"{0,1,5,7,8,9,10,11}",7.001,12.625,25.125,0.320366
"{0,2,3,4,5,6,9,10}",7.003,12.375,26.000,0.331392
"{0,3,5,6,7,8,10,11}",7.008,12.125,24.125,0.331774
"{0,1,2,3,6,7,9,10}",7.010,12.250,25.875,0.342503
"{0,1,3,4,5,6,9,10}",7.010,12.375,26.000,0.334170
"{0,1,2,3,5,8,9,10}",7.011,12.000,24.375,0.341596
"{0,1,2,3,5,7,9,11}",7.013,12.250,26.000,0.330598
"{0,3,4,5,8,9,10,11}",7.013,12.750,26.375,0.332384
"{0,1,3,4,5,6,8,10}",7.017,11.625,23.750,0.341497
"{0,1,2,3,5,7,8,11}",7.020,12.250,25.875,0.329904
"{0,1,2,3,5,7,9,10}",7.022,11.500,23.625,0.348639
"{0,1,2,3,5,6,9,11}",7.022,12.375,26.000,0.322761
"{0,1,5,6,7,9,10,11}",7.022,12.625,26.250,0.327225
"{0,4,5,6,7,8,9,10}",7.022,12.750,25.250,0.308759
"{0,1,3,4,5,6,8,9}",7.029,12.000,24.250,0.326516
"{0,1,2,3,5,6,8,11}",7.029,12.375,26.125,0.321570
"{0,1,2,3,5,7,8,10}",7.030,11.500,23.250,0.347449
"{0,1,2,3,5,6,9,10}",7.031,11.875,24.125,0.339612
"{0,1,2,3,4,6,9,11}",7.033,12.000,24.500,0.328997
"{0,2,3,4,5,6,7,9}",7.033,12.250,24.750,0.326913
"{0,3,4,5,6,9,10,11}",7.033,13.000,28.000,0.332894
"{0,1,2,4,5,7,8,9}",7.034,12.000,24.250,0.344374
"{0,1,2,3,5,6,8,10}",7.039,11.750,23.875,0.337925
"{0,1,4,6,7,8,10,11}",7.041,12.375,26.000,0.341808
"{0,3,4,5,6,8,10,11}",7.041,12.375,25.625,0.331094
"{0,1,3,4,5,6,7,9}",7.041,12.500,26.125,0.317106
"{0,1,2,3,4,6,9,10}",7.043,12.375,26.000,0.326630
"{0,1,2,6,8,9,10,11}",7.043,12.625,25.125,0.321556
"{0,2,3,4,8,9,10,11}",7.046,12.750,26.375,0.329606
"{0,1,2,3,5,6,8,9}",7.050,12.375,26.000,0.329408
"{0,1,4,6,7,8,9,11}",7.052,11.875,23.875,0.342489
"{0,1,4,5,6,9,10,11}",7.055,12.750,26.375,0.337146
"{0,1,4,5,6,8,10,11}",7.062,12.250,25.500,0.341808
"{0,2,4,5,6,7,10,11}",7.066,12.250,25.500,0.339427
"{0,3,4,5,6,7,8,11}",7.071,12.375,24.625,0.322350
"{0,1,4,5,6,8,9,11}",7.074,12.125,24.375,0.342885
"{0,1,2,3,4,6,7,9}",7.074,12.375,26.125,0.326630
"{0,5,6,7,8,9,10,11}",7.074,13.000,25.500,0.301020
"{0,2,3,4,5,9,10,11}",7.079,12.625,26.000,0.336749
"{0,1,3,5,6,7,10,11}",7.081,12.375,25.625,0.341808
"{0,3,4,5,6,7,8,10}",7.081,12.500,25.000,0.323342
"{0,1,4,5,6,7,9,11}",7.085,12.250,25.500,0.339427
"{0,1,2,5,7,8,9,11}",7.086,12.375,26.000,0.340618
"{0,2,3,4,7,8,9,10}",7.086,12.375,25.625,0.339725
"{0,2,3,4,5,8,10,11}",7.086,12.500,26.125,0.326332
"{0,1,2,3,7,9,10,11}",7.086,12.625,25.125,0.327509
"{0,1,3,4,5,9,10,11}",7.086,12.750,26.375,0.329606
"{0,1,3,4,5,8,10,11}",7.093,11.875,23.875,0.344870
"{0,1,2,3,7,8,10,11}",7.093,12.375,24.750,0.332667
"{0,3,4,5,6,7,8,9}",7.093,12.625,25.000,0.310346
"{0,2,4,5,6,7,8,10}",7.095,12.625,26.375,0.313039
"{0,1,2,5,7,8,9,10}",7.096,12.000,24.000,0.341596
"{0,1,3,5,6,7,8,11}",7.100,12.250,25.500,0.331094
"{0,1,2,3,6,8,10,11}",7.102,12.250,24.750,0.330187
"{0,1,4,5,6,7,8,10}",7.102,12.500,26.125,0.331392
"{0,1,2,5,6,7,9,11}",7.106,12.125,25.375,0.344189
"{0,2,4,5,6,7,8,9}",7.106,12.500,25.000,0.325723
"{0,2,3,4,5,8,9,10}",7.107,12.375,25.625,0.333773
"{0,1,2,3,6,7,10,11}",7.114,12.375,24.625,0.336635
"{0,1,2,3,6,8,9,11}",7.114,12.500,26.250,0.328713
"{0,1,4,5,6,7,8,9}",7.114,12.500,24.750,0.325028
"{0,1,6,7,8,9,10,11}",7.114,13.000,25.500,0.310544
"{0,1,2,5,6,7,9,10}",7.116,12.125,24.375,0.345564
"{0,1,2,3,6,8,9,10}",7.123,12.500,26.125,0.334963
"{0,1,2,4,6,7,8,11}",7.125,12.250,25.500,0.345380
"{0,1,3,4,5,6,9,11}",7.125,12.500,26.125,0.323951
"{0,2,3,4,6,7,8,9}",7.125,12.500,26.125,0.329011
"{0,4,5,6,7,8,10,11}",7.125,12.875,26.500,0.321273
"{0,1,3,4,5,6,8,11}",7.133,12.125,24.500,0.331774
"{0,1,2,3,5,6,10,11}",7.135,12.500,24.875,0.324334
"{0,1,2,4,6,7,8,10}",7.135,12.500,27.250,0.327041
